fips,county,county_clean,state,state_name,Metro,RegionID,SizeRank,RegionType,StateCodeFIPS,MunicipalCodeFIPS,avg_monthly_rent,num_returns,avg_annual_income,avg_monthly_income,avg_rent_burden,rent_burden_percent,affordability_category,required_income,latest_rent_month,income_source,county_count
06037,Los Angeles County,los angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",3101,0,county,6,37,2792.9833399825275,4270340.0,102959.94979322489,8579.995816102075,0.3255226925333619,32.55226925333619,Borderline,111719.3335993011,2026-04-30,county_income_from_irs_zip,1
17031,Cook County,cook,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",139,1,county,17,31,2286.386576509707,2191940.0,99145.93145797786,8262.160954831488,0.2767298517917023,27.67298517917023,Affordable,91455.46306038828,2026-04-30,county_income_from_irs_zip,1
48201,Harris County,harris,TX,TX,"Houston-The Woodlands-Sugar Land, TX",1090,2,county,48,201,1580.9209939510267,2033090.0,98727.77102833618,8227.314252361348,0.19215517305629617,19.215517305629618,Affordable,63236.839758041075,2026-04-30,county_income_from_irs_zip,1
04013,Maricopa County,maricopa,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",2402,3,county,4,13,1733.4797184752297,2019470.0,98078.01353820557,8173.167794850465,0.21209398387335388,21.209398387335387,Affordable,69339.18873900919,2026-04-30,county_income_from_irs_zip,1
06073,San Diego County,san diego,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",2841,4,county,6,73,2913.911495889711,1542830.0,104903.57395176396,8741.96449598033,0.33332456305783054,33.332456305783055,Borderline,116556.45983558845,2026-04-30,county_income_from_irs_zip,1
06059,Orange County,orange,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",1286,5,county,6,59,3124.325884227306,1471170.0,119719.05694107412,9976.588078422843,0.31316576966673937,31.316576966673935,Borderline,124973.03536909223,2026-04-30,county_income_from_irs_zip,1
36047,Kings County,kings,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",581,6,county,36,47,3645.207167242794,1192300.0,84287.53585507003,7023.961321255836,0.5189674316986496,51.896743169864955,Severely Burdened,145808.2866897118,2026-04-30,county_income_from_irs_zip,1
12086,Miami-Dade County,miami dade,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2964,7,county,12,86,2869.1673426886214,1396230.0,114663.56975569928,9555.297479641607,0.3002698083237735,30.026980832377347,Borderline,114766.69370754487,2026-04-30,county_income_from_irs_zip,1
48113,Dallas County,dallas,TX,TX,"Dallas-Fort Worth-Arlington, TX",978,8,county,48,113,1648.9505945730891,1187730.0,107222.60193815092,8935.216828179244,0.18454511247816027,18.454511247816026,Affordable,65958.02378292357,2026-04-30,county_income_from_irs_zip,1
06065,Riverside County,riverside,CA,CA,"Riverside-San Bernardino-Ontario, CA",2832,9,county,6,65,2557.981667501612,957890.0,77040.38459530844,6420.032049609036,0.39843752301164703,39.843752301164706,Borderline,102319.26670006447,2026-04-30,county_income_from_irs_zip,1
36081,Queens County,queens,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",1347,10,county,36,81,3077.0009907041745,968780.0,65533.99326988584,5461.16610582382,0.5634329612173565,56.343296121735655,Severely Burdened,123080.03962816698,2026-04-30,county_income_from_irs_zip,1
53033,King County,king,WA,WA,"Seattle-Tacoma-Bellevue, WA",207,11,county,53,33,2270.448865276145,1101020.0,154843.16633666964,12903.59719472247,0.17595472262608688,17.595472262608688,Affordable,90817.95461104582,2026-04-30,county_income_from_irs_zip,1
