state,state_name,avg_monthly_rent,avg_annual_income,avg_monthly_income,avg_rent_burden,county_count,rent_burden_percent,affordability_category,zip_count
AK,AK,1805.3199276295413,90902.0324735793,7575.169372798274,0.23869263558197287,5,23.869263558197286,Affordable,5
AL,AL,1377.1141998614914,74520.21892942596,6210.01824411883,0.22832437765856123,28,22.832437765856124,Affordable,28
AR,AR,1157.3053729954088,73352.22697841731,6112.685581534776,0.19219044523249695,19,19.219044523249696,Affordable,19
AZ,AZ,1701.6972881437605,77137.16611793793,6428.097176494827,0.26777655284701507,12,26.777655284701506,Affordable,12
CA,CA,2427.97805361757,101432.74584245474,8452.728820204562,0.30461739022200846,48,30.461739022200845,Borderline,48
CO,CO,2397.8952830481803,106978.26461495075,8914.855384579228,0.2602357300635357,33,26.02357300635357,Affordable,33
CT,CT,2053.4655200860793,91299.40793387088,7608.283994489239,0.30452246132697774,8,30.452246132697773,Borderline,8
DC,DC,2471.9610336149176,132128.51930766762,11010.709942305635,0.22450514513302042,1,22.450514513302043,Affordable,1
DE,DE,1917.5758632128673,80731.02603149362,6727.585502624468,0.28716909536962576,3,28.716909536962575,Affordable,3
FL,FL,1956.8811595530965,100842.09160468653,8403.507633723877,0.25816332108531165,46,25.816332108531164,Affordable,46
GA,GA,1740.337184483653,78180.42327849618,6515.035273208015,0.27905929033948745,61,27.905929033948745,Affordable,61
HI,HI,3678.0914532984775,90770.00032389536,7564.166693657947,0.4819397923528106,4,48.19397923528106,Burdened,4
IA,IA,1034.642505959703,80568.5119173825,6714.042659781874,0.15589866590315396,23,15.589866590315395,Affordable,23
ID,ID,1627.080373683264,75840.56714341091,6320.047261950909,0.2581254539894585,18,25.81254539894585,Affordable,18
IL,IL,1369.5715399495275,79416.45843909871,6618.038203258227,0.20773617275201078,33,20.77361727520108,Affordable,33
IN,IN,1196.519995563964,75847.72913606571,6320.644094672142,0.19241594037105558,41,19.241594037105557,Affordable,41
KS,KS,1177.3788194900453,74626.82341169762,6218.9019509748005,0.19133414436148255,22,19.133414436148254,Affordable,22
KY,KY,1318.6634602858264,73353.67756620397,6112.806463850331,0.2178424917649169,27,21.78424917649169,Affordable,27
LA,LA,1365.1305813383347,73329.3964673412,6110.7830389451,0.22989978375999237,25,22.989978375999236,Affordable,25
MA,MA,2437.3776212160087,97512.62508667928,8126.052090556608,0.3095484692026391,12,30.95484692026391,Borderline,12
MD,MD,1997.2782158804857,89227.47565210055,7435.622971008379,0.27287182755873246,19,27.287182755873246,Affordable,19
ME,ME,1765.3835460295468,76523.81665703656,6376.9847214197125,0.2811961702581417,10,28.11961702581417,Affordable,10
MI,MI,1411.1785542167718,78357.55168892532,6529.79597407711,0.21987833159740364,35,21.987833159740365,Affordable,35
MN,MN,1381.4860729733693,86365.21244572676,7197.101037143897,0.1949088192117524,32,19.49088192117524,Affordable,32
MO,MO,1176.1037321883816,74853.11883926939,6237.759903272449,0.19174123980133537,35,19.174123980133537,Affordable,35
MS,MS,1508.1240864281197,77488.44959540594,6457.370799617161,0.24300856664628362,14,24.300856664628363,Affordable,14
MT,MT,1504.1654973900793,87270.45498712901,7272.537915594084,0.2080877499973519,12,20.808774999735192,Affordable,12
NC,NC,1584.0695907984848,77797.0814254222,6483.090118785184,0.2533349785705664,64,25.333497857056642,Affordable,64
ND,ND,1226.0041289185538,95073.7358560859,7922.811321340492,0.15740785369194202,11,15.740785369194201,Affordable,11
NE,NE,1243.7649812128209,81188.39999143458,6765.699999286216,0.18550153346072074,12,18.550153346072072,Affordable,12
NH,NH,1967.400978752769,92556.0519720049,7713.004331000409,0.2646768660018661,10,26.467686600186607,Affordable,10
NJ,NJ,2397.4690333555477,102160.50467321729,8513.375389434774,0.29218138891081386,21,29.218138891081384,Affordable,21
NM,NM,1616.2203704733756,71080.08578208304,5923.340481840253,0.2768885233817696,15,27.68885233817696,Affordable,15
NV,NV,1791.898174631896,85633.01291506222,7136.084409588519,0.2573462530235133,8,25.734625302351333,Affordable,8
NY,NY,1844.069418953969,86658.10771519672,7221.508976266393,0.2676935453656386,49,26.76935453656386,Affordable,49
OH,OH,1329.5351566869942,74080.73978281807,6173.394981901505,0.2192246246789417,45,21.922462467894167,Affordable,45
OK,OK,1248.952524869583,68806.09536814228,5733.841280678524,0.21990148440227383,26,21.990148440227383,Affordable,26
OR,OR,1676.8329230978763,78742.40455597594,6561.867046331327,0.2591602580036679,23,25.91602580036679,Affordable,23
PA,PA,1336.0288751173373,84005.61270142203,7000.467725118502,0.19554473304402167,48,19.55447330440217,Affordable,48
RI,RI,2434.1913123913123,95110.41625807571,7925.868021506309,0.31155533965290105,5,31.155533965290104,Borderline,5
SC,SC,1556.809558993281,75311.26147463101,6275.938456219251,0.2549408320992792,25,25.494083209927922,Affordable,25
SD,SD,1194.8142754474907,100499.74047243509,8374.978372702924,0.15711105272154682,13,15.711105272154683,Affordable,13
TN,TN,1484.3094257104024,78210.42414259081,6517.5353452159,0.2348637479528211,45,23.48637479528211,Affordable,45
TX,TX,1475.5353722768336,85630.54783014246,7135.8789858452055,0.21912762536642638,95,21.91276253664264,Affordable,95
UT,UT,1947.2817938700236,108727.2797564451,9060.606646370425,0.24367846831280418,13,24.367846831280417,Affordable,13
VA,VA,1774.7928701694605,90285.92630152433,7523.827191793695,0.2467285517944783,75,24.67285517944783,Affordable,75
VT,VT,1726.6119167890993,83834.1094273341,6986.175785611175,0.2523414454388034,10,25.234144543880337,Affordable,10
WA,WA,1800.351131320428,88416.01524060107,7368.00127005009,0.24863090427750617,27,24.863090427750617,Affordable,27
WI,WI,1258.88529354994,78247.18529934484,6520.598774945403,0.19636134541124042,38,19.636134541124044,Affordable,38
WV,WV,1155.7957783662735,69552.4234388766,5796.035286573051,0.20041004130552573,15,20.041004130552572,Affordable,15
WY,WY,1756.9610278026946,136519.40912209975,11376.617426841645,0.18172537115905227,9,18.172537115905225,Affordable,9
